INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 03:01:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 03:05:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 03:10:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 03:15:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 03:20:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 03:30:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 03:40:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 03:50:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 04:01:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 04:05:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 04:10:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 04:15:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 04:20:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 04:30:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 04:40:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 04:50:56.000000');	
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 05:01:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 05:05:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 05:10:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 05:15:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 05:20:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 05:30:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 05:40:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 05:50:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 06:01:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 06:05:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 06:10:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 06:15:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 06:20:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 06:30:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 06:40:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 06:50:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 07:01:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 07:05:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 07:10:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 07:15:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 07:20:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 07:30:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 07:40:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 07:50:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 08:01:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 08:05:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 08:10:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 08:15:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 08:20:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 08:30:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 08:40:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 08:50:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 09:01:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 09:05:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 09:10:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 09:15:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 09:20:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 09:30:56.000000');
INSERT INTO `emergencies` (`id`, `user_id`, `employee_id`, `title`, `description`, `lat`, `long`, `status`, `status_msg`, `is_static`, `created_at`) VALUES (NULL, '3', NULL, 'ffff', 'sssss', '21.422168', '39.817697', '1', NULL, '0', '2020-02-25 09:40:56.000000');
